,name,CAS,smiles,Incineration,Recycling,Bio-treatment,VOC emissions,Environment - water,Environment - air,Health,Exposure,Flamability,Stability,waste_score,environment_score,health_score,safety_score,total_score
121,"1,3-Propanediol",504-63-2,OCCCO,4,5,5,10,10,6,10,9,10,10,5.62341325190349,7.745966692414834,9.486832980505138,10.0,8.017689252665459
122,"2,4,6-Trimethylpyridine",108-75-8,Cc1cc(C)nc(C)c1,7,9,6,8,10,5,7,8,9,9,7.415585502134682,7.0710678118654755,7.483314773547883,9.0,7.708888123629812
123,"1,3-Dioxolane",646-06-0,C1COCO1,4,4,3,4,7,5,7,5,2,9,3.7224194364083982,5.916079783099616,5.916079783099616,4.242640687119285,4.848779122111836
124,"N,N-Dimethyl decanamide",14433-76-2,CCCCCCCCCC(=O)N(C)C,6,7,6,10,4,6,10,10,10,10,7.0851677179897825,4.898979485566356,10.0,10.0,7.675628363379757
125,Methylcyclopentane,96-37-7,CC1CCCC1,10,7,5,3,6,3,10,7,2,9,5.692425097622216,4.242640687119285,8.366600265340756,4.242640687119285,5.411027143086574
126,2-Ethylhexanol,104-76-7,CCCCC(CC)CO,9,8,8,10,7,5,7,10,9,9,8.711754349385727,5.916079783099616,8.366600265340756,9.0,7.892830804748361
127,Trifluoroacetic acid,76-05-1,O=C(O)C(F)(F)F,1,5,2,4,4,4,4,3,7,6,2.514866859365871,4.0,3.4641016151377544,6.48074069840786,3.8765694093311613
128,"N,N'-Dimethylethyleneurea",80-73-9,CN1CCN(C)C1=O,3,4,3,10,7,6,4,8,9,9,4.355877174692863,6.48074069840786,5.656854249492381,9.0,6.157145864173255
129,Trichloroacetic acid,76-03-9,O=C(O)C(Cl)(Cl)Cl,1,4,3,9,2,5,4,6,10,6,3.2237097954706257,3.1622776601683795,4.898979485566356,7.745966692414834,4.434904744448616
130,Lactic acid,50-21-5,CC(O)C(=O)O,3,6,5,10,9,6,4,9,10,8,5.477225575051661,7.3484692283495345,6.0,8.94427190999916,6.817316198804997
131,N-Ethyl pyrrolidone,2687-91-4,CCN1CCCC1=O,3,4,3,10,9,6,1,8,9,9,4.355877174692863,7.3484692283495345,2.8284271247461903,9.0,5.342751833322448
132,Octyl acetate,112-14-1,CCCCCCCCOC(C)=O,9,7,9,10,3,8,4,7,8,10,8.677522825557235,4.898979485566356,5.291502622129181,8.94427190999916,6.697401709939963
133,N-Methyl formamide,123-39-7,CNC=O,2,5,3,10,10,6,1,5,10,10,4.161791450287817,7.745966692414834,2.23606797749979,10.0,5.1815564662449445
134,"Dimethyl-1,3-propyleneurea",7226-23-5,CN1CCCN(C)C1=O,5,7,6,10,5,6,4,10,9,9,6.769472427712399,5.477225575051661,6.324555320336759,9.0,6.777928591456489
135,cis-Decalin,493-01-6,C1CCC2CCCCC2C1,10,7,6,9,2,5,4,5,7,9,7.8410270115436775,3.1622776601683795,4.47213595499958,7.937253933193772,5.446776507389581
136,Methyl propionate ,554-12-1,CCC(=O)OC,5,5,5,4,10,6,7,3,4,10,4.728708045015878,7.745966692414834,4.58257569495584,6.324555320336759,5.708071997137522
137,Perfluorohexane,355-42-0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,10,5,2,1,7,4,2,4,10,4.472135954999579,2.6457513110645907,2.8284271247461903,6.324555320336759,3.814255241886222
138,2-Methylpentane,107-83-5,CCCC(C)C,10,9,4,2,3,3,10,7,2,10,5.1800401282227035,3.0,8.366600265340756,4.47213595499958,4.910543913581944
139,"α,α,α-Trifluorotoluene",98-08-8,FC(F)(F)c1ccccc1,4,4,5,6,3,8,10,4,4,10,4.680694638641432,4.898979485566356,6.324555320336759,6.324555320336759,5.503246681566261
140,"1,1,3,3-Tetramethyl urea",632-22-4,CN(C)C(=O)N(C)C,3,5,2,9,5,5,1,4,10,10,4.053600464421104,5.0,2.0,10.0,4.487043039243774
