,SMILES,Price_EUR_10g
1054,CC(C)(C)c1ccc(N)cc1,30
1059,Cc1ccc(N)c(F)c1,30
1062,Cc1onc(-c2ccccc2Cl)c1C(=O)O,21
1065,Cc1ccc(-c2ccccc2C(=O)O)cc1,33
1071,CNc1ccc(C)cc1,30
1073,CC(C)CCI,79
1074,CC(=O)NN,30
1085,O=S(=O)(Cl)c1cccs1,44
1087,ICCCCCCI,31
1088,CCCCCCCCCCI,81
1089,CCCCCCCCCCCCBr,30
1101,CN1CCN(C)CC1,31
1102,CC=NO,26
1103,ON=C(C(=NO)c1ccccc1)c1ccccc1,22
1104,O=[N+]([O-])c1ccc(Cc2ccncc2)cc1,56
1107,CN(C)c1ccc(Br)cc1,30
1111,CCCCCCCCBr,26
1112,CCCCC(N)=O,53
1113,NC1CCC(O)CC1,38
1114,O=C1CCSC1,30
1115,Oc1ccc(Cl)c2ccccc12,80
1121,N#CCC(=O)c1ccccc1,38
1122,O=C(O)Cc1ccsc1,53
1123,Nc1ccc(C(F)(F)F)cc1,30
1130,CCCCOC(N)=O,21
1131,NC(=O)c1cccnc1,26
1134,O=C(O)C(c1ccccc1)c1ccccc1,30
1143,O=C(O)c1cc(O)nc2ccccc12,30
1145,OB(O)c1cc(Cl)cc(Cl)c1,49
1160,Nc1nc2c(F)cc(F)cc2s1,73
1162,O=C(O)c1c(F)cc(F)cc1F,40
1172,CC(C)(O)CCc1ccccc1,39
1179,Cl.NNc1ccccc1C(=O)O,35
1181,Cc1ccc(N)c(C(=O)O)c1,30
1186,c1scc2c1OCCO2,38
1198,O=S1(=O)CCCC1,30
1209,CC(C)(C)OC(=O)NCCCN,44
1223,CCOC(=O)c1cccnc1C,45
1225,CC(=O)NC(N)=O,44
1244,FC(F)(F)c1ccc(Cl)cc1,30
1245,CCCCCCC(C)=O,30
1250,OC[P+](CO)(CO)CO.[Cl-],30
1260,C=CC(=O)NC(C)C,26
1262,Cc1c(Cc2c(C)n(C)n(-c3ccccc3)c2=O)c(=O)n(-c2ccccc2)n1C,21
1263,CCCCN(CCCC)CCCC,33
1264,CCCCCCCC=O,21
1267,COC(=O)C#CC(=O)OC,30
1284,NS(=O)(=O)c1cc(C(=O)O)ccc1Cl,30
1289,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,30
1298,O=C(O)c1cc(F)ccc1[N+](=O)[O-],30
1309,CCCCCCCI,30
1337,CNC(=S)NC,35
1338,CC(=O)C(C)(C)O,68
1344,CCCCCCO,30
1352,O=C(CCl)c1ccc(F)c(F)c1,46
1356,Nc1ccc(Cl)cc1I,30
1363,Cc1cc(C)n(C(=O)CC#N)n1,48
1368,Cc1ccccc1NN.Cl,30
1376,O=C(O)CSCc1ccccc1,67
1383,Nc1cc(S(N)(=O)=O)ccc1O,30
1391,COC(=O)C=C(C)N,26
1392,CCCCOCCO,30
1393,CCOC(=O)c1ccc([N+](=O)[O-])cc1,21
1401,O=C1Nc2c(Br)cccc2C1=O,95
1408,O=C(O)COc1ccc(O)cc1,66
1413,CCOC(=O)CCCCC(=O)OCC,21
1416,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,81
1426,O=C1c2ccccc2C(=O)N1O,30
1435,C=C(C)C1CC=C(C)CC1,30
1440,Nc1nc(-c2ccc(F)c(F)c2)cs1,44
1445,Nc1ccc(S)cc1,30
1449,Nc1ccc(C(=O)O)cc1O,38
1454,O=C(CBr)c1cccc(C(F)(F)F)c1,95
1456,COCc1ccccc1,44
1458,CCOC(=O)C(=O)c1csc(N)n1,30
1464,BrCCCCCCBr,26
1467,O=C1COc2ccc(Cl)cc2N1,58
1479,O=C(CCl)c1ccc(Cl)c(Cl)c1,90
1488,COC(=O)C(=O)OC,30
1497,Cc1cccc2c1NC(=O)C2=O,83
1502,Oc1ccc(OC(F)(F)F)cc1,30
1505,CC(=O)C=C(C)N,75
1510,Oc1ccnc2ccccc12,41
1511,COC(=O)c1ccco1,30
1512,COC(=O)C(F)(F)Cl,33
1521,Cc1ccc(C(C)N)cc1,57
1522,COc1ccc(OC)c(N=C=S)c1,39
1535,CCOC(=O)CCN1CCCCC1,74
1538,NNc1nc2ccccc2[nH]1,86
1539,OC1CCC(O)CC1,30
1569,CC(=O)c1ccc(S(=O)(=O)Cl)cc1,90
1607,CC(C)c1ccccc1N=C=S,75
1624,CC(=O)c1cc(Cl)ccc1O,30
1628,CC1(C)CCCC(=O)C1,29
1675,Sc1cccs1,38
1702,c1ccc(-c2nn[nH]n2)cc1,30
1715,CC(NCc1ccccc1)c1ccccc1,43
1723,O=C(O)c1ccc2[nH]ccc2c1,74
1724,O=c1[nH]cc(C(F)(F)F)cc1Cl,56
1737,O=C(O)CCCOCc1ccccc1,83
1760,Nc1n[nH]c2ccccc12,50
1775,COc1cccc(C)c1[N+](=O)[O-],38
1787,O=[N+]([O-])c1ccc2nc(S)[nH]c2c1,88
1789,O=c1[nH]ncc(Cl)c1Cl,30
1791,CCC1=C(O)C(=O)CC1,61
1841,O=C1c2ccccc2C(=O)N1CBr,35
1850,CC(=O)CCCO,45
1851,COC(=O)c1c(N)sc2c1CCCC2,83
1857,NCc1ccc(F)cc1Br,65
1861,N#Cc1ccsc1N,44
1871,CNC(=O)CC(C)=O,31
1883,Cc1ccc(C=O)cc1C,30
1885,O=[N+]([O-])c1ccc(Cl)cc1Cl,30
1914,O=C(CCl)NC(=O)NC1CCCCC1,33
1921,CC(Br)C(=O)c1ccccc1,22
1923,CC(Br)C(=O)c1cccc(Cl)c1,91
1932,OB(O)c1ccc(Br)cc1,38
1974,Cc1nc(N)c(Cl)cc1Cl,61
1984,CCOP(=O)(OCC)C(F)(F)Br,44
2021,COc1cc(C=O)ccc1OC(F)F,62
