,SMILES,Price_EUR_10g
46346,OCCCCCO,30
46361,COC(=O)c1ccc(Cl)s1,81
46386,COC(=O)CNC(=O)CN.Cl,71
46408,Clc1nccc2[nH]ncc12,95
46413,COC(=O)c1ccc2cc[nH]c2c1,46
46465,O=C(O)c1cc(F)c(Br)cc1Cl,60
46490,OB(O)c1cc(C(F)(F)F)ccc1F,53
46532,COc1cccc(OCC(=O)O)c1,70
46536,COC(=O)[C@H]1CC[C@H](C(=O)O)CC1,21
46544,CC(O)CCl,31
46545,O=C(Cl)c1cccc(CCl)c1,54
46550,O=Cc1c(F)cccc1Br,49
46553,Cc1ccc(C)c(Cl)c1,31
46555,O=C(O)C1NCCS1,21
46557,O=S(=O)(Cl)c1ccc(CBr)cc1,40
46561,NC(=O)c1cccc(Br)c1,29
46597,N=C(N)c1ccc(Br)cc1,56
46628,CCc1cc(O)nc(N)n1,62
46629,O=C[C@H](O)[C@H](O)[C@H](O)CO,30
46634,Nc1ccc(OC(F)(F)F)c(Br)c1,49
46635,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],21
46638,COc1cc2c(cc1OC)C(=O)CC2,30
46640,O=C(O)CCSCc1ccccc1,54
46645,Oc1ccc(O)c(Cl)c1,30
46663,Cc1ccc(Br)cc1Cl,30
46676,CCCCNS(=O)(=O)c1ccc(C)c(Br)c1,30
46682,COc1ccc2[nH]cc(CC#N)c2c1,89
46716,CC1(C)OB(c2ccc(Cl)s2)OC1(C)C,74
46824,CC(=O)N1CCNC1=O,71
46834,O=C(O)c1ccc(Cl)nn1,70
46855,CC(C)(C)OC(=O)[C@H]1CCC(=O)N1,83
46871,CC(=O)Nc1ccc(Br)cc1C(F)(F)F,89
46885,c1cnn(C2CCCCO2)c1,44
46918,O=C1OC(=O)c2cnccc21,59
46920,O=C(O)Cc1ccc(OCc2ccccc2)cc1,21
46986,COC(=O)C1CCOCC1,45
46987,COc1cccc2c1CCCC2=O,58
47000,COC(=O)C(Cl)CCl,35
47004,Oc1cc(F)ccc1Cl,41
47010,C=C1CN(C(=O)OC(C)(C)C)C1,89
47018,Cc1cc(N)c(Cl)cc1F,79
47026,Cc1nc(Br)ccc1Br,49
47033,CC(C)(C)OC(=O)Nc1ccccn1,42
47049,COC(=O)[C@H](C)NC(=O)OC(C)(C)C,29
47071,COC(=O)c1ccc(C)c(Br)c1,31
47074,O=C(Cl)c1ccc(F)cc1,26
47078,Cc1c(Cl)cccc1I,30
47081,Brc1ccncc1Br,48
47126,O=S(=O)(O)c1cccc2cnccc12,21
47159,COCC(C)N.Cl,44
47197,CCN(CC)CC(=O)O,92
47313,COC(=O)c1ccc(C(C)(C)C)cc1,21
47400,COCC(C)N,47
47403,COc1ccccc1C(=O)Cl,96
47407,COc1ccc(Br)c(CBr)c1,58
47438,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,45
47581,COc1ccccc1C(N)=O,44
47584,Cc1[nH]c(=O)[nH]c(=O)c1[N+](=O)[O-],46
47597,CC(C)(C)OC(=O)[C@@H]1CCC(=O)N1,48
47617,O=C(O)CCCCCCBr,90
47648,FC(F)(F)c1ccc(I)cc1,30
47661,CCOC(=O)C(CC)(CC)C(=O)OCC,30
47808,CON(C)C(=O)c1ccc(F)cc1,45
47816,O=C(O)c1cnc(Br)s1,64
47829,CS(=O)(=O)c1ccc(CCl)cc1,55
47852,Cc1cc(C)c(Br)c(C)c1,26
47862,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,91
47886,Cc1cccc(C)c1[N+](=O)[O-],30
47887,O=Cc1c(Br)cncc1Br,90
47889,COc1cccnc1Cl,78
47891,Brc1ccccc1I,30
47895,Oc1ccc(O)c(O)c1,40
47910,O=Cc1c(F)ccc(Br)c1F,86
47912,Nc1ncc(Br)cc1Br,30
47947,CCOC(=O)C(C)(F)F,83
47974,CCCCC(C)C(=O)O,50
48003,Brc1cnc(Br)c(Br)c1,61
48005,O=C(OCc1ccccc1)N1CCC(CO)CC1,36
48009,CC1(O)CSC(C)(O)CS1,41
48012,FC(F)(F)c1cnc(Br)c(Cl)c1,74
48023,O=C(Cl)c1ccc(Cl)nc1,49
48049,O=Cc1cn(CC(=O)O)c2ccccc12,75
48097,O=C(Cl)C1CCCCC1,26
48108,COC(=N)C(Cl)(Cl)Cl,66
48109,N#CCN1CCCCC1,44
48138,Nc1ccc2nccnc2c1Br,58
48153,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1,30
48205,C1CCNNC1.Cl.Cl,76
48206,CNC(=N)SC.I,38
48211,CCn1cc[n+](C)c1.[Br-],29
48244,Cc1c(C(=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-].[K+],30
48254,CC(C)(C)OC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,69
48290,N#Cc1cc(F)c(F)cc1Br,83
48317,Cl.Cl.Nc1ccc(N2CCCCC2)cc1,52
48395,Fc1ccc(I)c(F)c1,30
48437,COCCCCBr,46
48446,Cc1ccn(C)n1,36
48447,O=c1[nH]c(=O)c2sccc2[nH]1,96
48453,Cc1ccc(C=O)s1,30
48456,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,28
48513,N[C@H](CO)c1ccccc1,30
48516,CN(C)C(OC(C)(C)C)N(C)C,59
48517,Brc1csc(Br)c1,90
48519,ON=C(Br)Br,64
48543,CC(C)OB(OC(C)C)OC(C)C,30
48544,C[C@@H](N)CO,29
48545,CCOC(=O)CCC(=O)CCC(=O)OCC,36
48616,COc1ccc(C=O)cc1F,49
48618,CC(C)(C)OC[C@H](N)C(=O)O,50
48619,COC(=O)C(F)C(=O)OC,69
48628,Cc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,36
48633,O=S(=O)(Cl)c1cccc(Cl)c1,44
48650,Cl.FC(F)(F)c1ccnc(Br)c1,99
48674,COc1ccccc1CC(C)=O,88
48685,O=C(N[C@@H](C(=O)O)c1ccccc1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,68
48748,Cl.NCc1nccnc1Cl,67
48752,CC[C@H](C)[C@H](NC(C)=O)C(=O)O,30
48767,CCOC(C)=NC#N,26
48770,C[C@H]1CNCCN1,26
48773,Cc1cnn(C)c1,30
48776,O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,65
48834,CNc1ccccc1,30
48838,CSc1cccc(N)c1,44
48843,CCOC(=O)c1cnc(N)nc1O,93
48850,COC(=O)C1CC=CC1,48
48856,CCCCCCCCCC(=O)O,21
48860,CCOC(=O)C(CC)C(C)=O,35
48861,FC(F)(F)c1ccccc1CBr,30
48870,Nc1ccc(N2CCCCC2)cc1,57
48884,COC(=O)c1ccc2cn[nH]c2c1,41
48900,N#Cc1ccc(N)cc1Br,66
48903,O=Cc1cccc(I)c1,96
48967,NNc1ccc(S(=O)(=O)O)cc1.NNc1ccc(S(=O)(=O)O)cc1.O=S(=O)(O)O,21
48979,COC(=O)c1ccc(C(F)(F)F)cn1,99
48982,COc1ccc(Cl)cc1N=C=O,77
48991,Cl.NNc1ccc(S(=O)(=O)O)cc1,21
49001,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,30
49017,FC(F)(F)c1cccc(Br)n1,48
49019,O=C(O)c1cc(Br)cc(I)c1,58
49022,NC(Cc1ccc(Cl)cc1)C(=O)O,36
49026,CC(C)(C)OC(=O)N1CC[C@@H](O)C1,36
49033,COc1ccc(C(=O)O)cc1F,30
49039,CC(C)(C)OC(=O)N1CC=CCC1,31
49042,COc1ccc(Br)c(F)c1,41
49045,CC(=O)Nc1ccccc1C,41
49064,NCCc1cccc(Cl)c1,34
49070,CS(=O)(=O)c1ccc(F)c([N+](=O)[O-])c1,36
49080,CON(C)C(=O)CNC(=O)OC(C)(C)C,48
49089,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,86
49122,Oc1ccc(SC(F)(F)F)cc1,50
49164,C[C@@H](OC(C)(C)C)[C@H](N)C(=O)O,44
49169,O=[N+]([O-])c1c(Cl)ccnc1Cl,30
49175,COCCOCC(OC)OC,31
49181,COc1ccc(N)c(C(=O)O)c1.Cl,27
49202,[O-][n+]1cccc2cc[nH]c21,48
49214,O=C1[N-]S(=O)(=O)c2cc([N+](=O)[O-])ccc21.[NH4+],21
49236,O=Cc1ccccc1OC(F)F,66
49237,O=Cc1ccc(OC(F)F)cc1,65
49238,NN(Cc1ccccc1)c1ccccc1,55
49251,O=C(O)C(Br)(Br)Br,40
49321,Cc1c(Cl)ccc([N+](=O)[O-])c1Cl,25
49333,N[C@H](C(=O)O)c1ccc(O)cc1,36
49340,Cc1cc(C)c(C=O)c(C)c1,39
49377,Clc1cc(Br)cnc1Br,89
49406,O=C(Cl)OC1CCCC1,68
49411,CO[Si](CCCN)(OC)OC,26
49446,CCSC,29
49571,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,39
49573,C[C@@H](O)C(N)=O,70
49613,CCOC(=O)c1cnc2ccccc2c1O,74
49620,Cl.Cl.N[C@@H]1CCCNC1,45
49640,COC(=O)c1ccc(OCc2ccccc2)cc1,41
49644,O=C(O)COc1ccc(CO)cc1,45
49687,N#CN=C1NCCS1,35
49692,Cl.NC1CCC(=O)CC1,95
49723,CC1(C)OB(c2ccc([N+](=O)[O-])cc2)OC1(C)C,61
49732,Nc1cnn(CCO)c1N.O=S(=O)(O)O,48
49734,CCO[Si](C)(OCC)OCC,30
49751,C[C@@H]1CNCCN1.Cl.Cl,36
49763,N#CCS(=O)(=O)c1ccccc1,31
49774,N#Cc1ccc2ccccc2c1,53
49778,C=CCCCCO,76
49830,COC(=O)CC(C)CC(=O)O,49
49831,N#Cc1cc(O)cc(F)c1,60
49846,Fc1cc(Cl)cc(Cl)c1,41
49851,C#CC(C)(O)CC,26
49921,Brc1n[nH]nc1Br,58
49928,CCOC(=O)C1CCC(=O)C=C1C,58
49932,Clc1ccc(CBr)cc1,30
49933,COc1cc(Br)ccc1O,44
49938,Cc1noc(C)c1I,26
49984,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1.O,28
49987,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,26
50001,C=Cc1ccc(S(=O)(=O)[O-])cc1.[Na+],30
50006,CCSCC,51
50023,Nc1n[nH]cc1Br,73
50028,CCOC(=O)c1csc(C)n1,75
50105,NC(=O)c1cc(Br)ccc1O,45
50161,O[C@H](CCCl)c1ccccc1,89
50187,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,47
50188,CC(=O)c1cccc(N)c1O,30
50216,N=C(N)NC(=N)N1CCOCC1,63
50299,Cl.Fc1ccc2c(C3CCNCC3)noc2c1,21
50326,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,30
50350,N[C@@H](c1ccccc1)[C@H](O)c1ccccc1,68
50365,CCOC(=O)C=C1CCCCC1,50
50387,NC12CC3CC(C1)CC(O)(C3)C2,33
50406,NC(=O)N1C(=O)C=CC1=O,46
50419,O=C1OC2C(O)C3CC1C2C3,55
50536,COc1ccc(C(C)=O)cc1O,58
50550,CNS(=O)(=O)c1ccc(O)c(N)c1,80
50558,CC(C)[C@@H](N)C(N)=O.Cl,90
50595,CCN(CC)[Si](C)(C)C,31
50596,CC(=O)c1c(O)cc(O)cc1O.O,35
50616,Clc1ccc(I)cn1,38
50639,Cl.N=C(N)NC(=N)N1CCOCC1,60
50652,O=C1NCC[C@@H]1O,69
50664,CC(O)CC(C)(C)O,30
50665,O=Cc1cc(Br)cc(Br)c1,55
50668,N#Cc1cc(O)cc(Cl)c1,85
50671,O=[N+]([O-])c1c(O)ccnc1O,30
50673,CCOC(=O)c1c(C)csc1N,83
50692,O=C(c1ccc(F)cc1)C(F)(F)F,28
50693,N[C@@H]1CCCNC1,49
50699,Cl.NNC1CCCCC1,63
50700,Cl.Cl.NNC1CCCCC1,60
50706,CS(=O)(=O)c1ccc(CO)cc1,44
50713,CCOP(=O)(CC(=O)OC)OCC,30
50715,O=[N+]([O-])c1c[nH]c2ncc(Br)cc12,90
50730,CC(C)(C)[S@@](N)=O,36
50740,O=C1Cc2cc(Cl)ccc2N1,33
50743,FC(F)(F)Oc1ccc(Cl)c(Br)c1,25
50801,CCOC(=O)c1csc(N)n1,38
50805,CSc1ncc(Br)c(C(=O)O)n1,23
50807,O=C(O)c1cc(O)ccc1F,83
50811,N#CC1(C(=O)O)CC1,75
50821,CC[SiH2]CC,85
50822,C=CCOCCO,35
50845,N#Cc1cc(N)ccc1Br,88
50850,O=C(O)c1cccc(F)c1Br,86
50874,O=C([O-])C1Cc2ccccc2C1.[Na+],74
50875,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,21
50921,C[N+](C)(C)C.O=[N+]([O-])[O-],26
50922,Cl.Cl.O=C(O)[C@H]1CNCCN1,80
51005,COC(=O)c1ccc(N)c(I)c1,63
51042,CC(C)(C)S(N)(=O)=O,46
51075,CCOC(=O)c1cn(C)nc1C(F)F,74
51103,CCC(N)C(N)=O.Cl,21
51159,Clc1ccc(Br)c(CBr)c1,46
51200,COc1ccc(N)c(C(F)(F)F)c1.Cl,45
51230,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-].O=S(=O)(O)O,27
51331,C[C@H]1[C@H](N)C(=O)N1S(=O)(=O)O,53
51337,C1=CCCC=C1,64
51339,CC(=O)Cc1ccc(O)cc1,56
51340,CSCCl,54
51346,Cc1ccc2c(c1)no[n+]2[O-],89
51350,CCOC(=O)CC1CCN(C(=O)OC(C)(C)C)CC1,66
51365,O=C1NC(=O)C2C3C=CC(C3)C12,21
51383,O=C(O)c1ncccc1Cl,79
51393,Cl.N[C@@H](CS)C(=O)O,30
51446,Cc1ccc(O)cc1C(=O)O,80
51452,NNc1cccc(Cl)n1,35
51453,COC(=O)c1ccc(C(=O)O)cc1N,33
51454,Nc1ccc(Oc2ccc(Cl)cc2)cc1,46
51455,O=S1(=O)C=CCO1,76
51456,Fc1cc(Br)ccc1Cl,30
51458,O=C1OC(=O)C2=C1CCCC2,30
51462,OCc1ccc(Br)cc1,30
51463,Cc1cc(Cl)cnc1N,44
51468,CCOC(=O)c1csc(N)n1.Cl,35
51509,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O.[Na+],30
51511,N#C[N-]C#N.[Na+],30
51518,Cc1cccnc1F,30
51519,O=C(O)C(C(=O)O)c1ccccc1,30
51527,O=Cc1cc(C(F)(F)F)ccc1Br,69
51529,CCOc1cccc(B(O)O)c1,80
51531,C[Si](C)(C)C#CCCO,95
51533,COc1ccc(F)cc1C=O,55
51534,Cn1c(=O)cc(Cl)[nH]c1=O,30
51550,CC(=O)c1c(F)cccc1Cl,76
51577,O=C1OC(=O)c2c(F)cccc21,75
51579,Nc1cc(F)cc(F)c1F,98
51587,O=c1c([N+](=O)[O-])c[nH]c2ccccc12,48
51590,OCCc1cccc(F)c1,73
51594,O=C(Cl)c1ccccc1C(=O)Cl,26
51599,Nc1c(C(=O)O)cccc1C(=O)O,75
51602,CC(CO)[N+](=O)[O-],53
51612,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OC(C)(C)C,26
51620,Cc1nc(O)ccc1[N+](=O)[O-],61
51623,O=C(O)c1ccnc(C(F)(F)F)c1,76
51629,CCc1ccc([N+](=O)[O-])cc1N,48
51639,Nc1cc(Cl)c(F)cc1[N+](=O)[O-],96
51692,CC1=CCC(C(C)C)=CC1,30
51705,O=C(Cl)Cc1cccc(F)c1,84
51707,OB(O)B(O)O,76
51708,CC1CC(=O)CC(=O)C1,55
51715,O=[N+]([O-])c1cc(O)ccc1Cl,48
51725,C[Si](C)(C)OB(O[Si](C)(C)C)O[Si](C)(C)C,34
51829,COC(=O)c1ccc(OC)c(Cl)c1,55
51855,O=C1C=C(Cl)C(=O)C(Cl)=C1,53
51872,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OCc1ccccc1,30
51939,CC(C)(C)[S@](N)=O,30
51969,OCCc1ccccc1Br,46
51970,CC(C)(C)OC(=O)Nc1cccc(F)c1,81
52003,COc1ccc(F)c(C=O)c1,78
52009,COc1ccc([N+](=O)[O-])c(F)c1,44
52021,Cc1ccc(S(=O)(=O)F)cc1,34
52023,COC(=O)c1ccc(I)c(O)c1,63
52116,Cc1nccn1-c1ccc(N)cc1,68
52186,O=C(O)c1cccc(OC(F)(F)C(F)F)c1,55
52197,COC(=O)c1cc(C)sc1N,45
52331,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,67
52426,C1CSCCO1,21
52428,Nc1c(Br)cc(F)cc1C(=O)O,86
52486,Cc1ccc([N+](=O)[O-])cc1S(N)(=O)=O,31
52489,O=S(=O)(Cl)c1ccc(F)c(F)c1,21
52490,CCNC(=O)CCl,78
52495,CNCc1cccc(F)c1,75
52499,CCn1cncn1,68
52562,COc1cccc(F)n1,71
52578,Cc1ccccc1N=C=O,30
52631,CCOc1ccc(Br)cc1C=O,37
52633,c1ccc2[nH]c(-c3ccncc3)nc2c1,79
52635,CCOC(=O)c1sc(N)c(C(=O)OCC)c1C,35
52636,Brc1ccc2[nH]cnc2c1,80
52700,FCCn1cccn1,78
52726,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,31
52748,Oc1cc(C(F)(F)F)nn1-c1ccccc1,86
52783,Nc1cc(Cl)ccc1OC(F)(F)F,30
52798,CC(C)CCCC(=O)O,47
52839,Cc1cccc2sc(NN)nc12,21
53053,CS(=O)(=O)Cc1ccccc1Br,88
53070,CCNC(C)(C)C,91
53111,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,21
53156,CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,26
53176,Cc1cc(S(=O)(=O)Cl)c(Cl)cc1Cl,85
53182,CC(C)N(C(C)C)P(OCCC#N)N(C(C)C)C(C)C,55
53185,Brc1cnc2ccnn2c1,72
53187,FC(F)(F)c1cc(Br)ccc1Cl,30
53217,O=C(O)c1cc(Br)ccn1,63
53230,Cc1csc(C(=O)O)c1,76
53235,CC(F)(F)C(=O)O,99
53236,Cc1c[nH]c(=S)[nH]c1=O,38
53320,c1ccc2c(N3CCNCC3)nsc2c1,44
53321,Cl.NCC(=O)c1ccc(Br)cc1,55
53323,CCOC(=O)c1ccc2nc(N)sc2c1,68
53337,COc1ccc(F)c(Cl)c1,44
53467,Cc1nnc(C(=O)[O-])o1.[K+],48
53554,COC(=O)C(C)(C)F,49
53669,CC1CN(c2ccccc2)N=C1O,69
53857,Cc1ccccc1Oc1ccc(N)cc1,74
54060,Cc1n[nH]c(C)c1I,35
54184,O=C(O)CNC(=O)c1ccc([N+](=O)[O-])cc1,80
54297,CCOC(=O)c1cc(C)nn1C,43
54742,O=[N+]([O-])c1cccc(OC(F)F)c1,60
54776,COc1ccc(Cl)cc1I,31
54789,COC(=O)C[C@@H](N)C(=O)O.Cl,90
54897,Nc1cc(Cl)cnc1Cl,60
54914,Cc1ccc(C(O)c2ccccc2)cc1,53
54921,Cc1nc2ccccc2nc1C,69
54923,CCOc1c(OCC)c(=O)c1=O,39
54950,Cc1noc(C)c1CCl,46
54951,Cc1c(C(=O)O)oc2ccccc12,46
54960,O=S(=O)(Cl)c1cc(F)ccc1F,36
54968,Cc1ccc(S(=O)(=O)Cl)cc1[N+](=O)[O-],58
54973,COc1cc(CC(=O)O)ccc1O,38
54999,O=[N+]([O-])c1ccc(F)cc1Cl,61
55015,CCOC(=O)C(=O)C(C)C(=O)OCC,55
55018,N#Cc1ccc([N+](=O)[O-])cc1C#N,30
55021,Nc1ccc(CN2CCCCC2)cc1,55
55028,O=C(O)c1c(Cl)cc(Cl)cc1Cl,66
55029,N#CCC(=O)c1ccc(Cl)c(Cl)c1,94
55035,N#CCS(=O)(=O)c1ccc(Br)cc1,66
55041,C=CC(=O)N(C)C,26
55053,CC(C)c1cc(C(C)C)c(S(=O)(=O)Cl)c(C(C)C)c1,33
55080,O=C(CCl)N1CCOCC1,44
55092,COc1ccc(C(=O)NN)cc1OC,21
55093,NNc1nc2ccccc2s1,70
55099,Cc1cc(C)nc(S)n1.Cl,26
55115,O=C(O)c1ccccc1CBr,73
55119,CCOc1ccc(N=C=O)cc1,49
55121,COC(=O)c1ccc(CCl)o1,98
55126,O=S(=O)(Cl)Cc1ccc(Cl)cc1,99
55169,CCOC(=O)C1CCN(Cc2ccccc2)CC1,21
55182,O=C1NC2NC(=O)NC2N1,30
55186,CC(=O)CN1C(=O)c2ccccc2C1=O,53
55187,Clc1ccc2nc(Cl)sc2c1,53
55241,Cc1cccc(Br)c1[N+](=O)[O-],84
55655,Fc1ccc2nc(Cl)sc2c1,81
55683,OCCc1c(Cl)cccc1Cl,88
55724,COc1cc(Br)c(C(=O)O)cc1OC,50
55725,C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,31
55728,CC(C)OC(=O)[C@@H](N)Cc1ccc(O)cc1.Cl,57
55778,N.O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O,30
55859,O=C(O)c1ccccc1C(=O)c1ccc(O)cc1,30
56156,CCCn1ccnc1,30
56157,Oc1cc(Br)c(O)cc1Br,52
56165,Nc1ccc2c(c1)CCCC2=O,83
56172,Nc1cc(Cl)ccn1,39
56175,Nc1ccc(CCC(=O)O)cc1,95
56185,Clc1nsnc1N1CCOCC1,63
56199,O=C(O)c1ccc(O)cn1,63
56205,Cc1ccc2[nH]cnc2c1,50
56208,O=C(O)c1ccc2cc(C(=O)O)ccc2c1,38
56217,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],26
56230,CCOC(=O)c1c(O)cc(C)nc1O,21
56304,CCn1c(C)nc2cc(Cl)c(Cl)cc21,85
56316,Nc1ccc(N2CCOCC2)cc1,49
56318,O=C(O)CCS(=O)(=O)c1ccccc1,66
56339,Brc1cnn(Cc2ccccc2)c1,91
56390,Clc1nccnc1Cl,30
56391,COC(=O)CC(=O)OC,26
56392,COCCC(=O)OC,31
56399,Oc1nncc2ccccc12,30
56401,N#CCNCc1ccccc1,65
56427,OC1CCC1,75
56438,O=Cc1ccc(OCc2cccc(F)c2)cc1,46
56467,O=C1COCCO1,48
56468,OC(c1ccccc1)c1ccc(Br)cc1,49
56472,O=C(O)CCc1ccc(Cl)c(Cl)c1,90
56482,Cl.O=C(O)CNCc1ccccc1,30
56492,CC(C)=NO,26
56493,O=[N+]([O-])c1c(Cl)ncnc1Cl,30
56521,N#Cc1cccc(Cl)c1F,46
56551,O=C1OCC(F)O1,31
56562,Brc1cccc2cnccc12,41
56566,OCC1CCCC1,50
56579,CCCCOS(=O)(=O)c1ccc(C)cc1,21
56586,C[Si](C)(C)CCO,45
56587,Nc1c(F)cccc1C(=O)O,75
56609,Cc1cccc(C(=O)O)n1,69
56614,O=S(=O)(Cl)c1ccc(-c2ccccc2)cc1,83
56615,Cc1ccc2cccc(N)c2n1,78
56621,CC(C)(C)OC(=O)N1CCCC(=O)C1,30
56624,NS(=O)(=O)c1ccccc1Br,85
56634,Cl.Cl.N[C@@H]1CCCC[C@@H]1N,46
56644,CC(O)CCC(C)O,40
56645,Brc1ccnc2ccccc12,60
56655,CCN(Cc1ccccc1)c1ccccc1,26
56668,O=C1CCOc2ccc(F)cc21,65
56670,CC(=O)OCC(=O)O,75
56671,Nc1ccc2nccnc2c1,49
56674,COc1cc(F)ccc1N,84
56678,O=[N+]([O-])c1cc(Br)cnc1O,45
56684,NNc1ccc(C(=O)O)cn1,90
56709,N#Cc1ccc(O)c([N+](=O)[O-])c1,38
56711,CCOC=C(C(C)=O)C(=O)OCC,60
56753,Cc1cccc2cc[nH]c12,49
56768,O=C(O)CSc1nc2ccccc2[nH]1,92
56831,Cl.N=C(N)c1nccs1,63
56874,Cl.NCc1cccc2ccccc12,90
56899,Cc1csc(NC(=O)OC(C)(C)C)c1,70
56942,CCc1ccc(S(=O)(=O)Cl)cc1,64
56944,N#Cc1cn[nH]c1N,30
56945,O=C1CCC1,39
56966,CC1=CC[C@@H]2C[C@H]1C2(C)C,26
56989,Oc1cccc2[nH]c3ccccc3c12,35
57006,Cc1ccc(O)cc1Br,48
57013,Cl.NCCOc1ccccc1,54
57025,CC(C)OCCCN.Cl,26
57034,Cc1ccc2[nH]ccc2c1,65
57075,FC(F)=C(F)CCBr,81
57078,N[C@@H]1CCCC[C@@H]1N,51
57083,Oc1ccc(Cl)cn1,30
57085,C#CCCl,26
57091,Oc1ccc(Cl)c(Br)c1,90
57097,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,30
57099,NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,46
57101,CNC(=O)c1cccc(N)c1,94
57138,Oc1cncc(Br)c1,46
57183,CCOC(=O)C(=O)CC,89
57189,[C-]#[N+]CC(=O)OCC,94
57197,Brc1ccc(N2CCNCC2)nc1.Cl.Cl,68
57283,COC(=O)c1ccc2[nH]ncc2c1,49
57299,Cc1cccc(B(O)O)c1C,50
57302,COC(=O)c1ccccc1C(=O)OC,30
57303,N#Cc1ccc(CO)cc1,78
57312,O=C(CBr)c1ccc(Cl)c(Cl)c1,26
57315,N#CCc1ccccc1[N+](=O)[O-],21
57319,NC(=S)Nc1ccccc1C(F)(F)F,39
57374,O=S(=O)(Cl)c1ccccc1F,35
57378,COc1ccc2c(O)ccnc2c1,75
57399,Nc1nc2ccc(Br)cc2s1,55
57400,COC(=O)c1cc(OC)c(OC)c(OC)c1N,96
57413,OCc1cc(F)c(Cl)nc1Cl,52
57418,C=CCOc1ccccc1F,78
57455,N#Cc1cccc(I)c1,48
57457,CC(C)(C)c1ccc(S(=O)(=O)Cl)cc1,26
57546,COC(=O)C(Br)c1ccccc1,56
57559,Cc1ccnc(Cl)c1[N+](=O)[O-],26
57563,Oc1ncncc1F,31
57625,O=C(O)CCNC(=O)OCc1ccccc1,30
57626,Cn1[nH]nnc1=S,50
57634,CCOC(=O)c1ccc(OC)c(OC)c1,61
57641,O=C(O)C(F)(F)Br,61
57645,OCc1ccc(F)cc1Br,26
57646,CC(=O)c1ccc(C(=O)O)cc1,33
57647,Cc1cc(C)cc(NN)c1.Cl,44
57678,COC(=O)C(N)Cc1ccc(O)cc1.Cl,28
57679,COc1ccc(C(C)=O)c2ccccc12,43
57696,Cc1ccc(NN)cc1.Cl,30
57703,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,74
57735,Cn1cc(C=O)cn1,75
57737,COc1ccccc1S,35
57741,COc1ccc(C(C)O)cc1,21
57742,COc1ccccc1NC(N)=S,93
57749,CC1=CCC2C(C1)C2(C)C,46
57771,Cc1cnc(O)c([N+](=O)[O-])c1,31
57780,CC(=O)c1cc(Cl)cc(Cl)c1,41
57784,O=C1Cc2ccccc2CO1,30
57810,CC(Br)c1ccc(F)cc1,54
57851,CS(=O)(=O)c1nc(Cl)cc(Cl)n1,45
57856,Cc1nnn[nH]1,46
57874,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)OCc1ccccc1,68
57877,CCOC(=O)OC(C)Cl,26
57892,Fc1cc(Cl)ccc1Br,30
57896,CCCC(O)CC,46
57908,CC(C)Oc1cccc(Br)c1,45
57912,O=C(O)c1cc(Br)cc([N+](=O)[O-])c1,54
57930,Cc1cc(O)ccc1Br,30
57945,Cc1cc([N+](=O)[O-])c(Cl)cc1F,66
57990,CSc1ccc(Cl)c(C(=O)O)c1,65
57991,Cc1ccc(Br)c([N+](=O)[O-])c1,30
